Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
Komenský a my 2026;Základní škola a mateřská škola J. A. Komenského Brandýs nad Orlicí;"Posláním a hlavním cílem soutěže „Komenský a my"", která probíhá každoročně, je přispět ke zvýšení historického vědomí naší mladé generace, k rozvíjení její schopnosti kreativního myšlení a hledání samostatných tvůrčích řešení. Organizátorem a žadatelem podpory soutěže je Základní škola a mateřská škola J. A. Komenského v Brandýse nad Orlicí, městě, které je úzce spjato s osudem a dílem J. A. Komenského před jeho odchodem do exilu. Soutěž má tři kategorie a probíhá každoročně jako soutěž celostátní, která má školní kola, jichž se účastní školy všech krajů ČR a která jsou v listopadu, prosinci a lednu, a kolo ústřední (celorepublikové), pravidelně konané v březnu v Brandýse nad Orlicí při příležitosti výročí Komenského narození (památný den ČR). Obsah soutěže odpovídá věkovým zvláštnostem jednotlivých kategorií. Integrita jednotlivých částí soutěže je dána především osobností J. A. Komenského. Práce a testy vyhodnotí tři odborné poroty a o vítězích rozhodne hlavní porota soutěže. Probíhají školní kola SOUTĚŽE a pět nejlepších prací se zasílá přímo do celostátního kola. Na jednotlivých školách probíhají školní kola soutěže Komenský a my. Škola zašle 5 nejlepších prací do Brandýsa nad Orlicí. Porota vybere 3 nejlepší práce v kategorii A1, A2, C a pozve do Brandýsa nad Orlicí 20 autorů nejlepších literárních prací v kategorii B na vypracování testu ze znalostí o Komenském.";24;ostatní;x;x;25. - 28. březen 2026;Ano;Ano;Jedním z dalších cílů této soutěže je navázat na rámcové vzdělávací programy nabídkou aktivit, které mají charakter interdisciplinárních průřezových témat a pokrývají soutěžní a integrovanou formou oblasti české literatury, historie, dějin kultury a jejich včlenění do evropského kontextu. Výtvarná složka, ale i ostatní části soutěže jsou pak koncipovány tak, aby zdůrazňovaly vhodnou formou význam etických, estetických a hodnotových norem potřebných pro lidskou společnost bez ohledu na dobu. Soutěž přispívá k rozvíjení kulturního rozhledu a tvůrčího potenciálu dětí a mládeže. Je vždy doplněna kvalitním kulturním, zejména hudebním programem a uměleckým přednesem (např. to byl soubor Boni pueri, A. Strejček, Š. Rak, vystoupení mladých uměleckých souborů, Barocco sempre giovane, aj.). I pro 24. ročník bude připraven bohatý kulturní a vzdělávací program.;Mgr. Miloslav Dušek;603 889 433;zsreditel@ttnet.cz;Základní škola a mateřská škola J. A. Komenského Brandýs nad Orlicí;Žerotínova 29, 561 12 Brandýs nad Orlicí;https://zsmsbrandysno.cz
Braillský klíč 2025;Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17;Celostátní čtenářská soutěž pro těžce zrakově postižené žáky.;30;ostatní;x;x;XI.25;Ne;Ano;Soutěž navazuje na RVP a vychází ze vzdělávací oblasti Jazyk a jazyková komunikace, která má stěžejní postavení ve výchovném procesu. Rozvíjí u žáků čtenářské dovednosti i čtenářskou gramotnost. Žáci si osvojují především správnou techniku čtení Braillova písma a rychlost.;Mgr. Monika Výmolová;220 515 124;monika.vymolova@skolajj.cz;Škola Jaroslava Ježka pro zrakově postižené;Loretánská 104/19;www.skolajj.cz
Debatiáda;Asociace debatních klubů, z.s.;Soutěž je určena žákům druhého stupně základních škol a odpovídajících ročníků víceletých gymnázií. V debatě proti sobě stojí vždy dva dvoučlenné týmy. Žáci soutěží ve dvou věkových kategoriích, v I. kategorii žáci 6. a 7. třídy nebo primy a sekundy, ve II. kategorii žáci 8. a 9. třídy nebo tercie a kvarty. Jejich úkolem je v pravidly řízené debatě nad předem zadaným tématem odhalit podstatný společenský problém a následně se pokusit představit jeho možné řešení. Ten, kterému se pomocí konstruktivní argumentace podaří lépe obhájit svá tvrzení, debatu vyhrává.;7;ostatní;x;únor - březen 2026;16. května 2026;Ne;Ne;Účast v soutěži Debatiáda rozvíjí všechny klíčové kompetence (splňuje kritéria RVP G): 1. Komunikativní – kultivuje projev, rozvíjí dovednosti diskutovat, znázorňovat a vysvětlovat. 2. K učení – zabezpečuje rozvoj schopnosti učit se, sebepoznávání a zjišťování vlastních schopností, navrhování cílů směřujících k vlastnímu rozvoji, vyhledávání zpětné vazby a kritické myšlení. 3. K řešení problémů – hledá přístup k jejich řešení, plánování, realizaci a hodnocení efektivity řešení, vybízí k vyhodnocení nalezených způsobů řešení. 4. Sociální a personální – využívá skupinové práce a kooperativního učení, vybízí k aktivnímu přístupu při tvorbě pravidel skupinové práce. 5. občanské – vede k poslouchání a respektování druhých, apeluje na pravidla, podporuje principy demokratické společnosti. 6. K podnikavosti – zapojuje žákovské kolektivy do řešení projektů, vytváří modelové životní situace např. z oblasti právní či politologické. Konečným „produktem“ debatního programu je samostatně a kriticky myslící člověk, který se rozhoduje a jedná na základě podložených faktů a věcných závěrů. Člověk, který respektuje názor druhých a dokáže mu věcně a účinně oponovat. V rámci vzdělávacích oblastí jednotlivých předmětů je debatování účinným nástrojem, jak žáky vybavit nezbytnými znalostmi a schopnostmi popsanými v cílech vzdělávacích oblastí.;Barbora Lacinová;728 683 280;barbora.lacinova@debatovani.cz;Asociace debatních klubů, z.s.;Senovážné náměstí 977/24, 110 00 Praha 1;https://debatovani.cz/debata/debatiada/
Debate League;Asociace debatních klubů, z.s.;Debate League je soutěž pro žáky všech druhů středních škol v debatování formou Karl Popper. V debatě proti sobě stojí dva tříčlenné týmy, kterým je předloženo společensky kontroverzní téma. Jeden tým má za úkol téma podpořit a druhý se snaží argumentaci protivníka vyvrátit. Úspěšnost řečníků posuzují akreditovaní rozhodčí a přesnou podobu debaty určují jasně daná pravidla. Debate League probíhá v anglickém jazyce.;31;ostatní;x;říjen 2025 - únor 2026;24. - 27. dubna 2026;Ano;Ano;Účast v soutěži Debate League rozvíjí všechny klíčové kompetence (splňuje kritéria RVP G): 1. Komunikativní –kultivuje projev, rozvíjí dovednosti diskutovat, znázorňovat a vysvětlovat v anglickém jazyce. 2. K učení – zabezpečuje rozvoj schopnosti učit se, sebepoznávání a zjišťování vlastních schopností, navrhování cílů směřujících k vlastnímu rozvoji, vyhledávání zpětné vazby a kritické myšlení. 3. K řešení problémů – hledá přístup k jejich řešení, plánování, realizaci a hodnocení efektivity řešení, vybízí k vyhodnocení nalezených způsobů řešení. 4. Sociální a personální – využívá skupinové práce a kooperativního učení, vybízí k aktivnímu přístupu při tvorbě pravidel skupinové práce. 5. Občanské – vede k poslouchání a respektování druhých, apeluje na pravidla, podporuje principy demokratické společnosti. 6. K podnikavosti – zapojuje žákovské kolektivy do řešení projektů, vytváří modelové životní situace např. z oblasti právní či politologické. Konečným „produktem“ debatního programu je samostatně a kriticky myslící člověk, který se rozhoduje a jedná na základě podložených faktů a věcných závěrů. Člověk, který respektuje názor druhých a dokáže mu věcně a účinně oponovat. V rámci vzdělávacích oblastí jednotlivých předmětů je debatování účinným nástrojem, jak žáky vybavit nezbytnými znalostmi a schopnostmi popsanými v cílech vzdělávacích oblastí.;Ing. Václav Soukup;725 992 360;vaclav.soukup@debatovani.cz;Asociace debatních klubů, z.s.;Senovážné náměstí 977/24, 110 00 Praha 1;https://debatovani.cz/debata/debatni-liga/
Debatní liga;Asociace debatních klubů, z.s.;Debatní liga je soutěž pro žáky všech druhů středních škol v debatování formou Karl Popper. V debatě proti sobě stojí dva tříčlenné týmy, kterým je předloženo společensky kontroverzní téma. Jeden tým má za úkol téma podpořit a druhý se snaží argumentaci protivníka vyvrátit. Úspěšnost řečníků posuzují akreditovaní rozhodčí a přesnou podobu debaty určují jasně daná pravidla. Debatní liga probíhá v českém jazyce.;31;ostatní;x;listopad 2025 - březen 2026;24. - 27. dubna 2026;Ano;Ano;Účast v soutěži Debatní liga rozvíjí všechny klíčové kompetence (splňuje kritéria RVP G): 1. Komunikativní – kultivuje projev, rozvíjí dovednosti diskutovat, znázorňovat a vysvětlovat. 2. K učení – zabezpečuje rozvoj schopnosti učit se, sebepoznávání a zjišťování vlastních schopností, navrhování cílů směřujících k vlastnímu rozvoji, vyhledávání zpětné vazby a kritické myšlení. 3. K řešení problémů – hledá přístup k jejich řešení, plánování, realizaci a hodnocení efektivity řešení, vybízí k vyhodnocení nalezených způsobů řešení. 4. Sociální a personální – využívá skupinové práce a kooperativního učení, vybízí k aktivnímu přístupu při tvorbě pravidel skupinové práce. 5. Občanské – vede k poslouchání a respektování druhých, apeluje na pravidla, podporuje principy demokratické společnosti. 6. K podnikavosti – zapojuje žákovské kolektivy do řešení projektů, vytváří modelové životní situace např. z oblasti právní či politologické. Konečným „produktem“ debatního programu je samostatně a kriticky myslící člověk, který se rozhoduje a jedná na základě podložených faktů a věcných závěrů. Člověk, který respektuje názor druhých a dokáže mu věcně a účinně oponovat. V rámci vzdělávacích oblastí jednotlivých předmětů je debatování účinným nástrojem, jak žáky vybavit nezbytnými znalostmi a schopnostmi popsanými v cílech vzdělávacích oblastí.;Ing. Václav Soukup;725 992 360;vaclav.soukup@debatovani.cz;Asociace debatních klubů, z.s.;Senovážné náměstí 977/24, 110 00 Praha 1;https://debatovani.cz/debata/debatni-liga/
Veletrh fiktivních firem - 11. ročník;Střední škola obchodní, České Budějovice, Husova 9;"Soutěž s mezinárodní účastí Veletrh fiktivních firem se bude konat při příležitosti celostátní výstavy Vzdělání a řemeslo na Výstavišti v Českých Budějovicích. Hlavním cílem a záměrem Veletrhu fiktivních firem je podpora a rozvoj podnikatelských dovedností a základů finanční gramotnosti žáků středních škol, schopnost prezentace a obhajoby podnikatelského záměru. Přínosem setkání fiktivních firem žáků středních škol je upevnění finanční gramotnosti, posílení komunikačních schopností a obchodního přístupu při jednání s obchodními partnery, bankami a podobně, podpora uplatňování prvků manažerské a marketingové práce, posílení a rozvoj schopnosti analyzovat dosažené výsledky a hospodaření jednotlivých firem. Žáci středních škol soutěží ve třech kategoriích - ""Soutěž o nejlepší firmu"", ""Soutěž o nejlepší prezentaci"" a ""Soutěž o nejlepší katalog"".";11;ostatní;x;x;6. - 7. listopad 2025;Ne;Ne;Návaznost na odborné vzdělávání v oblasti podpory a rozvoje podnikatelských dovedností a základů finanční gramotnosti. V předmětu Fiktivní firma si žáci mohou vyzkoušet simulaci reálného podnikatelského prostředí v podmínkách tržního hospodářství. Během tří let si žáci nejprve založí firmu v určitém oboru podnikání, kterou se následně snaží vést a jakožto její zaměstnanci i řešit různé problémové situace. Žáci řeší situace nejen uvnitř daného podniku, ale obchodují i s jinými firmami, ať už tuzemskými nebo zahraničními. Soutěž přispívá k rozvoji klíčových, a především odborných kompetencí žáků. Jedná se o rozvoj kompetencí k pracovnímu uplatnění a podnikatelským aktivitám, komunikativních, občanských, využívání prostředků informačních a komunikačních technologií, práce s informacemi a odborných kompetencí zaměřených na zajišťování obchodní činnosti podniku, efektivní hospodaření s finančními prostředky a dovednost jednat ekonomicky, v souladu se strategií trvale udržitelného rozvoje.;Mgr. Jarmila Benýšková;387 023 711;benyskova@sso.cz;Střední škola obchodní, České Budějovice, Husova 9;Husova tř. 1846/9, 370 01 České Budějovice;www.sso.cz
Mladý zahrádkář 2026;Český zahrádkářský svaz, z. s. ;Vědomostní soutěž pro žáky základních a středních škol. Základní kolo probíhá ve školách a kroužcích Mladý zahrádkář - test a poznávačka rostlin - termín 2-3/2026. Okresní kolo na územních pracovištích ČZS - test 40 otázek, poznávačka 40 rostlin - termín 4-5/2026. Celostátní kolo pořádané Ústředím ČZS (putovně - různě po celé ČR) opět test - 40 odborných otázek a poznávačka 40 rostlin, termín 6/2026.;39;ostatní;duben - květen 2026;x;červen 2026;Ne;Ne;Navazuje na RVP: Člověk jeho osobnost a svět práce Polytechnická výchova a praktické činnosti - Péče o domácnost a zahradu. Dětem napomáhá k dosažení svého maximálního potenciálu, rozvíjí wellbeing každého žáka, podporuje tvořivé naplňování inovativních přístupů, vede k rozvoji talentů a vytváří příležitost k seberealizaci.;Mgr. Vlasta Ambrožová;731 615 535;mladez@zahradkari.cz;Český zahrádkářský svaz, z. s.;Rokycanova 318/15, 130 00 Praha 3;https://www.zahradkari.cz/fs
Floristická soutěž 2026;Český zahrádkářský svaz, z. s. ;Soutěž v aranžování květin podle zadaného tématu z rostlinného materiálu dodaného pořadatelem. Soutěž je tříkolová s třemi kategoriemi - žáci, junioři, senioři: Do okresního kola se zájemci přihlásí na příslušném územním sdružení ČZS (v každém okrese) Územní sdružení pořádají koncem dubna okresní kola a do zemského kola postupují vítězové z prvního místa. Zemská kola se pořádají pro Čechy a Moravu v květnu a červnu. Do celostátního kola postupují tři nejlepší ze zemských kol z každé kategorie. Celostátní finále soutěže se koná na celostátní výstavě HORTRIKOMLEX v Olomouci;15;ostatní;duben 2026;květen - červen 2026;20. října 2026;Ne;Ne;Navazuje na RVP: Člověk jeho osobnost a svět práce Polytechnická výchova a praktické činnosti - Péče o domácnost a zahradu. Dětem napomáhá k dosažení svého maximálního potenciálu, rozvíjí wellbeing každého žáka, podporuje tvořivé naplňování inovativních přístupů, vede k rozvoji talentů a vytváří příležitost k seberealizaci. Soutěžící získávají zkušenosti s praktickými činnostmi a zdokonalují se ve zručnosti.;Mgr. Vlasta Ambrožová;731 615 535;mladez@zahradkari.cz;Český zahrádkářský svaz, z. s.;Rokycanova 318/15, 130 00 Praha 3;https://www.zahradkari.cz/fs
Vítejte u nás - 16. ročník;Střední škola obchodní, České Budějovice, Husova 9;Soutěž s mezinárodní účastí Vítejte u nás skýtá jedinečnou příležitost žákům středních škol zdokonalit se ve svých odborných znalostech, ale i komunikačních dovednostech. Svým rozměrem se řadí k největším soutěžím tohoto typu v celé ČR, v Jihočeském kraji je pak soutěží zcela unikátní. Výjimečné postavení zaujímá nejen při propagaci regionálního cestovního ruchu, ale návštěvníci soutěže se mohou inspirovat i k cestám po domovských regionech soutěžících družstev (ČR, Slovensko). Smyslem soutěže je podpora a propagace regionálního cestovního ruchu a kulturního dědictví, porovnání odborných, komunikativních a prezentačních dovedností žáků středních škol zaměřených na cestovní ruch, hotelnictví a gastronomii.;16;ostatní;x;x;červen 2026;Ne;Ne;Soutěž Vítejte u nás je určena žákům středních škol se zaměřením na cestovní ruch, hotelnictví a gastronomii. Úkolem soutěžících je formou prezentace představit zajímavosti svého regionu. Ve dvou soutěžních kategoriích je jejich úkolem zaujmout svými odbornými znalostmi, prokázat schopnost komunikace v cizím jazyce před odbornou porotou. Soutěž přispívá k rozvoji klíčových i odborných kompetencí žáků daných oborů. Jedná se především o rozvoj kompetencí komunikativních, občanských s důrazem na kulturní povědomí, využívání prostředků informačních a komunikačních technologií, práce s informacemi a odborných kompetencí zaměřených na aktivity ve službách cestovního ruchu. Komunikace v cizím jazyce je důležitá pro přípravu žáků na aktivní život v multikulturním prostředí a dorozumění v situacích osobního a pracovního života.;Mgr. Jarmila Benýšková;387 023 711;benyskova@sso.cz;Střední škola obchodní, České Budějovice, Husova 9;Husova tř. 1846/9, 370 01 České Budějovice;www.sso.cz
Gastro Junior Bidfood Cup 2026;ASOCIACE KUCHAŘŮ A CUKRÁŘŮ ČESKÉ REPUBLIKY, z. s.;Gastro Junior Bidfood Cup je celostátní odborná gastronomická soutěž s mezinárodní účastí. Soutěž je projektem největšího profesního sdružení Asociace kuchařů a cukrářů ČR. Je určena pro žáky středních odborných škol a středních odborných učilišť s gastronomickým zaměřením, prověřuje teoretické i praktické znalosti a dovednosti žáků, kteří je následně využívají pro výkon povolání kuchař a cukrář.;30;řemeslná;x;x;říjen 2026;Ano;Ne;Gastro Junior – Bidfood Cup je celostátní odborná gastronomická soutěž s mezinárodní účastí. Soutěž je projektem největšího profesního sdružení Asociace kuchařů a cukrářů ČR. Je určena pro žáky středních odborných škol a středních odborných učilišť s gastronomickým zaměřením, prověřuje teoretické i praktické znalosti a dovednosti žáků, kteří je následně využívají pro výkon povolání kuchař a cukrář (pro tyto obory jsou vyhlášeny propozice). Soutěže se v průběhu 29 ročníků zúčastnili studenti cca 90 odborných škol. Již několik let je soutěž rozšířena o účast soutěžících ze zahraničních odborných škol, například ze Slovenska a Rakouska. Úmyslem organizátorů je dosáhnout mezinárodní prestiže této přehlídky tak, aby mohla být zahrnuta do kalendáře Světové asociace kuchařských spolků WACS. Soutěž propaguje a podporuje rozvoj řemesel, je součástí přehlídky Zlaté ručičky. Nejvyšším cílem je dosáhnout uznání a certifikovaného vzdělávání uvedených oborů pro Českou republiku. Veškeré informace o soutěži jsou poskytovány i webovým stránkám WACS – světové asociace, propozice jsou rovněž v dispozici v anglickém jazyce. Soutěž Gastro Junior – Bidfood Cup je organizovaná každoročně a mezi odbornými školami má již svou váhu a tradici. Soutěž pro obor kuchař a cukrář vyhlašuje, odborně garantuje a podporuje profesní asociace: Asociace kuchařů a cukrářů ČR. Komise je složena z uznávaných odborníků a certifikovaných komisařů WACS. Rozhodujícím přínosem akce je rovněž propojení pracovníků odborných škol s výkonnými profesionály v gastronomických oborech, zvyšování úrovně praktického vzdělávání a následné otevření možností pro kvalifikovaný vstup do profesního života studentům daných oborů a rozvoj mezinárodní spolupráce, v neposlední řadě pak propagace české gastronomie ve světě. Cílem projektu realizace soutěže Gastro Junior Bidfood Cup je motivovat studenty k zájmu o obor, zvyšování jejich praktických dovedností a znalostí v návaznosti jak na výuku, tak na praktické současné trendy, odpovídající požadavkům současného zákazníka i pracovního trhu, aby se z nich stali profesionální kuchaři a cukráři a kvalitní pracovníci v gastronomii na základě kvalitní odborné praktické i teoretické přípravy včetně profesní komunikace, pomoci připravovat pro praxi odborníky gastronomických oborů, kteří obstojí na trhu práce a budou budovat a rozvíjet dobré jméno české gastronomie. Další možnosti jsou zahraniční výměny jak studentů, tak později i možnosti migrace budoucích odborníků, zvyšování jejich kvalifikace. Dalším cílem je posílení zájmu o dané obory se základem postaveným na odborné – profesní komunikaci, která je součástí a v souladu s Rámcovým vzdělávacím programem. Na mezinárodní úrovni pak rozvíjet spolupráci a výměnu zkušeností mezi jednotlivými školami účastnických zemí, poznáním místní gastronomie, tradic, kultury, rozvíjení společenského styku, v neposlední řadě i možnost praktického studia cizích jazyků. Dále porovnání odborných dovedností s jinými studenty gastronomických škol v České republice, ale i dalších zemí. Porovnání vývoje a úrovně evropských trendů, rozšíření znalostí formou seznámení s obory jednotlivých zemí, případně rozvíjení možností vzájemné výměny s možností poznávat jednotlivé kultury a jejich gastronomii. Důležitým prvkem je seznamování veřejnosti s prací škol a představování škol a práce studenů i budoucím potenciálním zaměstnavatelům, neméně důležitá je i podpora rozvoje regionů a v návaznosti na tyto aktivity rozvoj spolupráce regionálních škol se zahraničními školami. Do přípravy soutěže Gastro Junior – Bidfood Cup jsou zapojeni kvalifikovaní učitelé odborných předmětů, učitelé odborného výcviku a kvalifikovaní rozhodčí profesní organizace – Asociace kuchařů a cukrářů ČR. Soutěž je mediálně podporována jak odbornými časopisy i magazíny pro gastronomii, tak denním tiskem, portály a weby s gastronomickým zaměřením. V rámci finálového kola se účastní jako diváci studenti a žáci z většiny škol, které jsou členy AKC ČR, pravidelně jezdí na vyhlášení celé autobusy, dále odborní partneři asociací a odborná i laická veřejnost – návštěvníci veletrhů i ze zahraničí. Informace pro veřejnost jsou zveřejňovány na webových stránkách a facebooku asociace a spolupracujících médií a škol. Dále v regionálním i celostátním tisku a v odborných gastronomických časopisech. Na propagaci spolupracují i partneři AKC ČR – prostřednictvím svých médií a informačních materiálů, kteří tak napomáhají k celkové realizaci a propagaci soutěže i jednotlivých oborů.;Bc. Miroslav Kubec;775 657 217;sekretariat@akc.cz;Asociace kuchařů a cekrářů ČR, z.s. ;U Krbu 521/45, 108 00 Praha 10;www.akc.cz
ZLATÝ MASÉR 2025;Střední odborné učiliště DAKOL, s.r.o.;"Celostátní soutěž žáků středních škol v odborných masérských dovednostech. Soutěž probíhá ve dvou kategoriích - ""Sportovní masáž"" (soutěž jednotlivců) a ""Alternativní masáž"" (soutěž 3členných družstev). Soutěž je určena pro žáky středních škol ČR oborů vzdělávání 69-41-L/02 Masér sportovní a rekondiční, 69-53-H/01 Rekondiční a sportovní masér a 53-41-M/04 Masér ve zdravotnictví a žáky středních škol ze Slovenské republiky, které vyučují masérské obory. Cílem soutěže je umožnit vzájemné setkávání žáků s podobnými zájmy a zaměřením, umožnit žákům veřejně prezentovat a ověřit své znalosti a dovednosti nabyté ve svém oboru, podpořit spolupráci žáků v rámci týmové spolupráce a motivovat je k jejich dalšímu osobnímu rozvoji.";10;řemeslná;x;x;16. říjen 2025;Ano;Ne;Soutěž se zaměřuje na rozvíjení kompetencí potřebných pro profesní život a vzájemné porovnávání dovedností žáků podněcuje maximální rozvoj žáků v masérských oblastech díky vzájemným ukázkám odborných činností.;Ing. Marika Mencnerová;720 943 639;mencnerova.marika@dakol-karvina.cz;Střední odborné učiliště DAKOL, s.r.o.;Petrovice u Karviné 570, PSČ 735 72;https://www.dakol-karvina.cz/cz/projekty-skol-dakol/
Zlatý pohár Linde;Střední odborná škola, Frýdek-Místek, příspěvková organizace;"Mezinárodní soutěž ve svařování žáků SŠ pod názvem ""Zlatý pohár Linde"" se koná pod záštitou generálního partnera Linde Gas, a.s. největšího dodavatele technických plynů v ČR a za podpory dalších oficiálních partnerů soutěže. Škola má živnostenské oprávnění a v rámci VHČ zabezpečuje finanční krytí veškerých nákladů, které se nemohou hradit ze státního rozpočtu přiděleného škole. Soutěž probíhá v praktickém provedení svarových spojů metodami: - 111 - Svařování el. obloukem obalenou elektrodou, - 135 - Svařování el. obloukem tavící se elektrodou, - 141 - Svařování el. obloukem netavící se elektrodou v inertním plynu, - 311 - Svařování plamenem. Pro všechny soutěžící, jejich doprovody a hosty soutěže je zajištěn odborný, kulturní a společenský program. Součástí soutěže jsou odborné přednášky a ukázky firem zabývajících se svařováním a svařovací technikou, jak pro pedagogické doprovody žáků, tak i pro žáky naší školy. Druhý den soutěže se koná ve sportovní hale SOŠ ""Prezentační den výrobců a prodejců svářecí techniky"", který navštíví cca 650 účastníků (účastníci soutěže, žáci a zaměstnanci školy, žáci ostatních škol, hosté). Celkový počet soutěžících se pohybuje každoročně kolem 115 a soutěže se zúčastňuje cca 80 pedagogických doprovodů. Ze zahraničí se zúčastňují státy - Slovensko, Německo, Ukrajina, Čína, Bulharsko.";27;řemeslná;x;x;20. - 22. duben 2026;Ano;Ne;Soutěž je určena pro všechny studenty, kteří absolvovali nebo právě absolvují svářečský kurz stanovený RVP;Česká svářečská společnost ANB;224 310 394;cws-anb@cws-anb.cz;TESYDO, s.r.o;Mariánské náměstí 617/1, 617 00 Brno;https://www.sosfm.cz/o-skole/pohar-ve-svarovani/
NAUČÍME VÁS TO OPRAVIT;APPLiA CZ - Sdružení evropských výrobců domácích spotřebičů;Na jaře 2019 spustilo sdružení APPLiA CZ projekt SERVIS - Podporujeme výchovu nových servisních techniků, ve spolupráci s vybranými výrobci z řad členů sdružení APPLiA CZ a středních odborných škol a učilišť v Chomutově, Plzni, Praze, Ostravě a posléze také v Třebíči, Hluboké nad Vltavou, Kroměříži a Hradci Králové. Soutěž je především zpětnou vazbou pro výrobce - úroveň studentů druhých ročníků. Soutěž vznikla před třemi lety. Mistři odborného výcviku nominují vždy 2 žáky za školu. Soutěž se skládá z teoretické části (60 minut) a přaktické části (70 minut), kde musí studenti identifikovat a opravit závadu na 1 velkém spotřebiči (např. pračka) a 1 malém spotřebiči (např. kávovar). Hodnotí se identifikace závady, postup opravy, práce s technickou dokumentací a rychlost provedení.;3;řemeslná;x;x;duben 2026;Ne;Ne;V rámci ŠVP využili školy stávajících učebních a studijních oborů s cílem vychovat novou generaci servisních techniků pro domácí spotřebiče. Zcela zásadní přínos pro celý projekt byla tvorba učebnice do škol, která je podpůrným studijním materiálem;Ing. Radek Hacaperka;602 511 657;radek.hacaperka@appliacz.cz;APPLiA CZ - sdružení evropských výrobců domácích spotřebičů;Jinonická 804/80, 158 00 Praha 5 - Košíře;https://www.naucimevastoopravit.cz
Autoopravář junior 2026;Integrovaná střední škola automobilní Brno, příspěvková organizace;Celostátní soutěž odborných znalostí a dovedností Autoopravář junior bude organizována v pěti kategoriích Automechanik, Karosář, Autolakýrník, Autotronik a EV technik. Hlavní myšlenkou a cílem pořádání této akce je systémová motivace žáků středních škol s výukou autooborů, propagace uvedených technických oborů a rozvoj spolupráce mezi budoucími zaměstnavateli žáků a středními školami v České republice. Dalším cílem je také porovnání znalostí a dovedností soutěžících a navázání spolupráce mezi vyučujícími a žáky jednotlivých škol. Soutěž je tříkolová a skládá se ze školního kola, krajského kola a celostátního finále. Soutěže se pravidelně účastní žáci téměř všech škol s výukou autooborů v ČR, kterých je v současnosti 118. Kategorie: Automechanik, Karosář a Autolakýrník jsou zařazeny do přehlídky České ručičky. Obsah soutěží vychází z Rámcových vzdělávacích programů a má tři části – teoretickou, poznávací a praktickou část. Do soutěže je tradičně zapojena celá řada partnerů z oblasti autoopravárenství, kteří se podílejí na zajištění jednotlivých úkolů, jejich hodnocení a cenách pro účastníky. Hlavními partnery soutěže jsou společnosti ŠKODA AUTO, BOSCH, PORSCHE ČR a SCANIA. Dalšími partnery jsou například společnosti Hella Gutmann, AutoJob, Univer, AD technik, Wűrth, Agrotec, Fronius, Interaction, Toplac, AutoFit, Bučan, Servind, Mirka, Motip, 3M, Global Expert, Festool, Sata, Dürr, Alca, Hazet a další. Uvedená soutěž jsou svým rozsahem, počtem zapojených škol, soutěžících žáků a aktivně spolupracujících partnerů největší akcí v technických oborech v ČR. Organizátory soutěže jsou pilotní školy s výukou autooborů z jednotlivých krajů ČR, hlavním organizátorem je Integrovaná střední škola automobilní Brno.;31;řemeslná;leden 2026;únor 2026;23. - 25. březen 2026;Ano;Ano;Jedná se o celostátní odbornou soutěž, která se skládá ze tří kol (školní, krajská, celostátní) a bude organizována v 5 kategoriích - Automechanik, Autotronik, Karosář, Autolakýrník a EV technik. Obsah soutěže v jednotlivých kategoriích vychází z oboru vzdělání a rámcových vzdělávacích programů - 23-68-H/01 Mechanik opravář motorových vozidel, 39-41-L/01 Autotronik, 23-55-H/02 Karosář, 23-61-H/01 Autolakýrník a 26-57-H/01 Autoelektrikář.;Milan Chylík, Ing.;777 295 802;milan.chylik@issabrno.cz;Integrovaná střední škola automobilní Brno, příspěvková organizace;Křižíkova 15, 612 00  BRNO;https://autoopravarjunior.cz/
Harmonie 2026;Obchodní akademie, Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Střední odborná škola služeb a Jazyková škola s právem státní jazykové zkoušky Jihlava;Mistrovství České republiky mladých kadeřníků a kosmetiček se zahraniční účastí - rozvoj odborných dovedností a podpora zájmu talentované mladé generace kadeřníků a kosmetiček o tvůrčí přístup k práci ve svém oboru, poměření sil a srovnání dosažených výsledků vzdělávání těch nejlepších mladých, řemeslně zručných kadeřníků, kosmetiček a vizážistů. Je zařazená do soutěží přehlídky české ručičky, jejímž vyhlašovatelem je Jihomoravský Kraj;19;řemeslná;prosince 2025;leden 2026;19. března 2026;Ne;Ne;Soutěž navazuje na rozvíjení klíčových kompetencí zejména v oblasti odborných kompetencí, umělecké oblasti - kreativita, estetické, výtvarné a další. Účastníci soutěže se seznámí s novými trendy, inovativními metodami a materiály, mají možnost čerpat z odborné literatury, internetu a získávají další zkušenosti v daném oboru.;Libor Fasora, Mgr.;567 587 412;libor.fasora@ozs-ji.cz;OA, VOŠZ a SZŠ, SOŠS Jihlava;Karoliny Světlé 4428/2;www.akakos.cz
